Ordre,Ville,X,Y
1,7,91.78308132495872,29.95040911125326
2,0,94.93124200297468,48.7631272269318
3,17,72.91406330559738,71.6646156866346
4,6,54.28070113933631,75.35849956459442
5,10,32.6588690496876,83.7007216506623
6,3,3.128280142412543,90.58215261867547
7,11,11.287921093635978,85.14852433243847
8,14,19.72800042960594,73.0516381862471
9,9,17.969330753313084,70.67152274582303
10,16,3.2487565814433905,28.66294658514803
11,15,24.671981051599467,47.057300851047366
12,12,30.42743037072375,43.0713811283308
13,19,49.06675267155344,24.829868155978673
14,1,38.05956082670383,9.243323118110848
15,5,27.28184711049302,8.02018332223875
16,2,63.108395422642914,7.01957800475067
17,4,71.01198003484778,12.84573989671156
18,8,73.4525041076453,20.982358699895787
19,13,93.474094709705,2.076677061136012
20,18,88.04811986962324,22.895641640926602
21,7,91.78308132495872,29.95040911125326
